RECTIFIERMODULEFAULTY(VisibleColumns3)
Severity,Raised Time,NE,NE Agent,Alarm Code,Comment,Alarm Object Name
Critical,2023-04-23 11:45:35,eIULD29_TOF_ON_USFC(815212),PSH_GUL_OMMB3,Rectifier Module faulty(198092571),"",eIULD29_TOF_ON_USFC
Critical,2023-04-22 22:04:51,eMCMR21_GLO(814711),MLT_GUL_OMMB2,Rectifier Module faulty(198092571),"",eMCMR21_GLO
Critical,2023-04-21 12:56:46,eFFD900(820029),FSB_GUL_OMMB1,Rectifier Module faulty(198092571),"",eFFD900
Critical,2023-04-13 05:59:31,eIUDK74_TOF_ON_USFD(815583),PSH_GUL_OMMB3,Rectifier Module faulty(198092571),"",eIUDK74_USFD
Critical,2022-07-15 19:11:56,eMUBR01_USF(815432),MLT_GUL_OMMB2,Rectifier Module faulty(198092571),"",eMUBR01_USF
Critical,2021-03-25 20:09:58,uMPLH01_LCK_GLO(790),FSB995_ZXR02_OMMB,Rectifier module failure of embedded power(198092117),"",uMPLH01_GLO
Critical,2021-03-25 20:09:58,uMPLH01_LCK_GLO(790),FSB995_ZXR02_OMMB,Rectifier module failure of embedded power(198092117),"",uMPLH01_GLO
Critical,2020-10-01 16:54:17,eQQT751_MHS_IP_AGG_DWDM(860933),KHI_GUL_OMMB6,Rectifier Module faulty(198092571),"",eQQT751_MHS_IP_AGG_DWDM
Critical,2023-06-09 08:44:19,eKMK102_MHS(870361),KHI_GUL_OMMB3,Rectifier module failure of embedded power(198092117),"",eKMK102_MHS
Critical,2023-06-09 06:58:03,eZHB069_USF_UMORAN(814181),KHI_GUL_OMMB4,Rectifier Module faulty(198092571),"",eZHB069_USF_UMORAN
Critical,2023-06-09 08:42:43,eMTBI01_GLO(820944),LHR_GUL_OMMB4,Rectifier module failure of embedded power(198092117),"",eMTBI01_GLO
Critical,2023-06-09 08:42:00,eQLK103_MHS(870299),KHI_GUL_OMMB6,Rectifier module failure of embedded power(198092117),"",eQLK103_MHS
Critical,2023-06-09 08:40:12,eIUHR02(812551),PSH_GUL_OMMB3,Rectifier Module faulty(198092571),"",eIUHR02
Critical,2023-06-09 08:39:32,eQSN101(870574),KHI_GUL_OMMB6,Rectifier module failure of embedded power(198092117),"",eQSN101
Critical,2023-06-09 08:38:12,eQSN101(870574),KHI_GUL_OMMB6,Rectifier module failure of embedded power(198092117),"",eQSN101
Critical,2023-06-09 08:33:00,eKUHD13_USF(814205),KHI_GUL_OMMB4,Rectifier Module faulty(198092571),"",eKUHD13_USF
