Notification ID,Alarm Number,Alarm Type,Severity,Alarm Time,Probable Cause,Probable Cause Code,Alarm Text,Distinguished Name,Object Class,Acknowledgement State,Acknowledgement Time/UnAcknowledgement Time,Acknowledgement User,Cancel State,Cancel Time,Cancel User,Name,Maintenance Region Name,Site Name,Site Priority,Site Address,Extra Information,Diagnostic Info,User Additional Information,Supplementary Information,Additional Information 1,Additional Information 2,Additional Information 3,Correlation Indicator,Notes Indicator,Trouble Ticket Indicator,Alarm Sound,Instance Counter,Consecutive Number,Alarm Insertion Time,Alarm Update Time,Controlling Object Name,Origin Alarm Time,Origin Alarm Update Time,Origin Acknowledgement/UnAcknowledgement Time,Origin Cancel Time,Related DN's
64b50c7527165eb2c9d31766a2731072899afb7a,7103,Environmental,Critical,2023-06-04 17:38:30,Indeterminate,0,BASE STATION EXTERNAL ALARM NOTIFICATION,PLMN-PLMN/MRBTS-851043/EQM_R-1/APEQM_R-1/CABINET_R-1/SMOD_R-1/EAC_R-5,APEQM_R,false,,,false,,,,,eIBU020_PSOC_SWP,null,,,1401 unitName=FSMF path=/SMOD_R-1/EAC_R-5 additionalFaultID=1401 EAC_IN-2,affected_cells=none,RECTIFIER MODULE FAULTY,,,,false,false,,false,1,1090153903,2023-06-04 17:38:38,2023-06-04 17:38:30,,2023-06-04 17:38:30 +05:00,2023-06-04 17:38:30 +05:00,,,
1ba471af1eaeb85f576f541246900b7f7b8503c6,7103,Environmental,Critical,2023-06-04 17:00:03,Indeterminate,0,BASE STATION EXTERNAL ALARM NOTIFICATION,PLMN-PLMN/MRBTS-851506/EQM_R-1/APEQM_R-1/CABINET_R-1/SMOD_R-1/EAC_R-12,APEQM_R,false,,,false,,,,,eIUMM16_USF_MHD,null,,,1401 unitName=FSMF path=/SMOD_R-1/EAC_R-12 additionalFaultID=1401 EAC_IN-2,affected_cells=none,RECTIFIER MODULE FAULTY,,,,false,false,,false,1,1090135211,2023-06-04 17:00:12,2023-06-04 17:00:03,,2023-06-04 17:00:03 +05:00,2023-06-04 17:00:03 +05:00,,,
4fb3dbbcdbf424f7a68b0f3d27216cf2f7d89c34,7103,Environmental,Critical,2023-06-04 15:36:11,Indeterminate,0,BASE STATION EXTERNAL ALARM NOTIFICATION,PLMN-PLMN/MRBTS-850086/EQM_R-1/APEQM_R-1/CABINET_R-2/SMOD_R-1/EAC_R-6,APEQM_R,false,,,false,,,,,eIGM001_MHS_SWP,null,,,1401 unitName=FSMF path=/SMOD_R-1(Primary)/EAC_R-6 additionalFaultID=1401 EAC_IN-2,affected_cells=none,RECTIFIER MODULE FAULTY,,,,false,false,,false,1,1090095064,2023-06-04 15:36:15,2023-06-04 15:36:11,,2023-06-04 15:36:11 +05:00,2023-06-04 15:36:11 +05:00,,,
2cfae4d07871446b535ca1ae762a06c9bba26e42,7103,Environmental,Critical,2023-06-04 15:05:58,Indeterminate,0,BASE STATION EXTERNAL ALARM NOTIFICATION,PLMN-PLMN/MRBTS-851675/EQM_R-1/APEQM_R-1/CABINET_R-2/SMOD_R-1/EAC_R-18,APEQM_R,false,,,false,,,,,eIPW330_ATL_HOST,null,,,1401 unitName=FSMF path=/SMOD_R-1(Primary)/EAC_R-18 additionalFaultID=1401 EAC_IN-2,affected_cells=none,RECTIFIER MODULE FAULTY,,,,false,false,,false,1,1090080138,2023-06-04 15:06:03,2023-06-04 15:05:58,,2023-06-04 15:05:58 +05:00,2023-06-04 15:05:58 +05:00,,,
2d6453109182e1f7611d1ffb98eb5fe910d7ebb,7103,Environmental,Critical,2023-06-04 12:50:15,Indeterminate,0,BASE STATION EXTERNAL ALARM NOTIFICATION,PLMN-PLMN/MRBTS-812782/EQM_R-1/APEQM_R-1/CABINET_R-1/SMOD_R-1/EAC_R-8,APEQM_R,false,,,false,,,,,eITG023,null,,,1401 unitName=FSMF path=/SMOD_R-1/EAC_R-8 additionalFaultID=1401 EAC_IN-2,affected_cells=none,RECTIFIER MODULE FAULTY,,,,false,false,,false,1,1090019155,2023-06-04 12:50:26,2023-06-04 12:50:15,,2023-06-04 12:50:15 +05:00,2023-06-04 12:50:15 +05:00,,,
ac6f4269f8892cc6d65be1b639dddc63c28020d1,7103,Environmental,Critical,2023-06-04 11:59:08,Indeterminate,0,BASE STATION EXTERNAL ALARM NOTIFICATION,PLMN-PLMN/MRBTS-850001/EQM_R-1/APEQM_R-1/CABINET_R-2/SMOD_R-1/EAC_R-1,APEQM_R,false,,,false,,,,,eIAB001_MHS_IP_AGG_FTTT_GLO_GEM_OD_SWP,null,,,1401 unitName=FSMF path=/SMOD_R-1(Primary)/EAC_R-1 additionalFaultID=1401 EAC_IN-2,affected_cells=none,RECTIFIER MODULE FAULTY,,,,false,false,,false,1,1089996735,2023-06-04 11:59:16,2023-06-04 11:59:08,,2023-06-04 11:59:08 +05:00,2023-06-04 11:59:08 +05:00,,,
f5b39f49b691ff81631dc2eac018e3b444b483d2,7103,Environmental,Critical,2023-06-04 10:58:50,Indeterminate,0,BASE STATION EXTERNAL ALARM NOTIFICATION,PLMN-PLMN/MRBTS-851374/EQM_R-1/APEQM_R-1/CABINET_R-1/SMOD_R-1/EAC_R-14,APEQM_R,false,,,false,,,,,eIMS120_ZH_SWP,null,,,1401 unitName=FSMF path=/SMOD_R-1/EAC_R-14 additionalFaultID=1401 EAC_IN-2,affected_cells=none,RECTIFIER MODULE FAULTY,,,,false,false,,false,1,1089970875,2023-06-04 11:00:41,2023-06-04 10:58:50,,2023-06-04 10:58:50 +05:00,2023-06-04 10:58:50 +05:00,,,
b633074cd82ee7eb74996e54b421f1892b249a47,7103,Environmental,Critical,2023-06-04 07:57:00,Indeterminate,0,BASE STATION EXTERNAL ALARM NOTIFICATION,PLMN-PLMN/MRBTS-851512/EQM_R-1/APEQM_R-1/CABINET_R-1/SMOD_R-1/EAC_R-21,APEQM_R,false,,,false,,,,,eIUMM25_USFM,null,,,1401 unitName=FSMF path=/SMOD_R-1/EAC_R-21 additionalFaultID=1401 EAC_IN-2,affected_cells=none,RECTIFIER MODULE FAULTY,,,,false,false,,false,1,1089897355,2023-06-04 07:57:06,2023-06-04 07:57:00,,2023-06-04 07:57:00 +05:00,2023-06-04 07:57:00 +05:00,,,
3431f27c9f09ddffa947ed9f4e507a1d692a33ab,7103,Environmental,Critical,2023-06-04 00:59:17,Indeterminate,0,BASE STATION EXTERNAL ALARM NOTIFICATION,PLMN-PLMN/MRBTS-840730/EQM_R-1/APEQM_R-1/CABINET_R-1/SMOD_R-1/EAC_R-18,APEQM_R,false,,,false,,,,,eIRP725_WG_GLO_SWP,null,,,1401 unitName=FSMF path=/SMOD_R-1/EAC_R-18 additionalFaultID=1401 EAC_IN-2,affected_cells=none,RECTIFIER MODULE FAULTY,,,,false,false,,false,1,1089781376,2023-06-04 00:59:18,2023-06-04 00:59:17,,2023-06-04 00:59:17 +05:00,2023-06-04 00:59:17 +05:00,,,
ec6cc8e09b65dc0c53dbcf39c3727b78b0405ff8,7103,Environmental,Critical,2023-06-03 19:55:40,Indeterminate,0,BASE STATION EXTERNAL ALARM NOTIFICATION,PLMN-PLMN/MRBTS-841452/EQM_R-1/APEQM_R-1/CABINET_R-1/SMOD_R-1/EAC_R-5,APEQM_R,false,,,false,,,,,eISR011_E.CO_HOST,null,,,1401 unitName=FSMF path=/SMOD_R-1/EAC_R-5 additionalFaultID=1401 EAC_IN-2,affected_cells=none,RECTIFIER MODULE FAULTY,,,,false,false,,false,1,1089666589,2023-06-03 19:56:05,2023-06-03 19:55:40,,2023-06-03 19:55:40 +05:00,2023-06-03 19:55:40 +05:00,,,
